record_num,mode,Rope_S,Touch_S,cur_pos_abs,cur_vel,cur_acc
0,0,83,11,1958026888.0,0.010819356835769562,0.06821570568995766
1,3,83,11,1958026889.0,0.003827618178499726,-0.02676170598388529
2,3,83,11,1958026886.0,-0.005594643190609577,-0.01757139680294368
3,3,83,11,1958026889.0,0.007319050721265706,0.031505326913305105
4,3,83,12,1958026886.0,0.0,0.026089505699879778
5,3,83,12,1958026886.0,-0.0074393472862717275,-0.055879215836474136
6,3,83,12,1958026884.0,-0.006687880092481862,0.002512861242750226
7,3,83,12,1958026886.0,0.004864089064130813,0.02809490342192808
8,3,83,12,1958026884.0,-0.0048864728840216694,-0.0238229282818103
9,3,83,12,1958026878.0,-0.013550411371957788,-0.019566655102145388
10,3,83,12,1958026875.0,-0.007263283306395751,0.01522173077458965
11,3,83,12,1958026860.0,-0.035561021930816186,-0.06708643358770129
12,3,83,12,1958026843.0,-0.041339962894248614,-0.014053012058608816
13,3,83,12,1958026810.0,-0.0790971095491171,-0.09049942924915795
14,3,83,12,1958026744.0,-0.14840726103039725,-0.15585045065058664
15,3,83,12,1958026644.0,-0.2417466282420749,-0.22564477305671957
16,3,83,12,1958026496.0,-0.3538488240323776,-0.26802182535031055
17,3,83,12,1958026313.0,-0.4453998909069808,-0.2228242360566446
18,3,83,12,1958026097.0,-0.4823092333901193,-0.08241535499062909
19,3,83,12,1958025573.0,-0.5537829621125143,1.5333771195336048
20,3,83,12,1958025425.0,-0.5010145213882163,0.1786334802289636
21,3,83,12,1958025109.0,-0.7663930056667053,-0.6436209310299545
22,3,83,12,1958024771.0,-0.7736287869031379,-0.01656156408354376
23,3,83,12,1958024180.0,-1.4116364829157177,-1.5239169882781025
24,3,83,12,1958023741.0,-1.0645810915818688,0.8416141397393201
25,3,83,12,1958023272.0,-1.1240092429004056,-0.14242599439343145
26,3,83,12,1958022786.0,-1.1753628230409963,-0.1241956562290261
27,3,84,12,1958022271.0,-1.151912627986348,0.0524516035188199
28,3,84,12,1958021722.0,-1.3299485364444958,-0.4312907028934059
29,3,84,12,1958021137.0,-1.416503775545549,-0.20958260338442647
30,3,84,11,1958020503.0,-1.5181483991778946,-0.24339372658120673
31,3,84,11,1958019806.0,-1.6843915003457017,-0.4017481586774247
32,3,84,11,1958018244.0,-1.6193758497796513,4.026028726841627
33,3,84,11,1958017842.0,-1.3965958817195394,0.7739641440854796
34,3,85,11,1958017038.0,-1.9094164633939188,-1.2178955987764999
35,3,85,11,1958015772.0,-2.9132544379217644,-2.3099805957722284
36,3,85,11,1958014858.0,-2.197783555581035,1.7204049668550419
37,3,85,11,1958013885.0,-2.3411299862322164,-0.3449050639433064
38,3,85,11,1958012888.0,-2.4233432359758926,-0.1998304139156817
39,3,85,11,1958011898.0,-2.3482219985296613,0.17818317406869755
40,3,85,11,1958010907.0,-2.2678717066783065,0.1838790650989223
41,3,85,11,1958009878.0,-2.442799873217116,-0.4152716258922313
42,3,87,11,1958008796.0,-2.625686720666512,-0.4438110598266563
43,3,87,11,1958007666.0,-2.755880637283405,-0.31752114504122575
44,3,87,11,1958006484.0,-2.8047450373387646,-0.11594939387293204
45,3,87,11,1958004009.0,-2.483521508580049,6.968262533530229
46,3,87,11,1958003375.0,-2.1780561356376444,1.0494017819590618
47,3,87,11,1958002078.0,-3.1363576177572785,-2.3173293396715535
48,3,87,11,1958000045.0,-4.576791386399012,-3.2427766182969777
49,3,88,11,1957998660.0,-3.3539902078521937,2.96120085126076
50,3,88,11,1957997274.0,-3.3312161732851986,0.05473681982722244
51,3,88,11,1957995879.0,-3.373532103321033,-0.10233272290879876
52,3,88,11,1957994459.0,-3.45070201622248,-0.18752843242305356
53,3,88,11,1957992979.0,-3.323999957161981,0.2845659722225903
54,3,88,11,1957991438.0,-3.7321991361589095,-0.9886311636814491
55,3,88,11,1957989857.0,-3.7786737842612115,-0.11107687186396803
56,3,88,11,1957988249.0,-3.9496608292340127,-0.4199880807434998
57,3,90,11,1957986609.0,-4.0059743521052935,-0.1375552001823449
58,3,90,11,1957984948.0,-3.7443507169730195,0.589771610947994
59,3,90,11,1957982451.0,-6.041636624170753,-5.558416769370108
60,3,90,11,1957980738.0,-4.060150741410489,4.696515689424111
61,3,90,11,1957978957.0,-4.3282087166116225,-0.6514378803047781
62,3,90,11,1957977146.0,-4.373745922727011,-0.10997690203178292
63,3,90,11,1957975316.0,-4.117798454935622,0.5759235450361012
64,3,91,11,1957973433.0,-4.544231548906789,-1.02910818859358
65,3,91,11,1957971528.0,-4.489100016854879,0.1299165152039192
66,3,91,11,1957969621.0,-4.666591439906651,-0.4343366310803617
67,3,91,11,1957967698.0,-4.57521503885643,0.21740337196128304
68,3,92,11,1957964735.0,-6.257349958209556,-3.5523816629487395
69,3,92,11,1957962717.0,-4.878728152631275,3.332963832857343
70,3,92,11,1957960647.0,-4.9649506948018525,-0.2068070872741009
71,3,92,11,1957958552.0,-4.789114279485503,0.40195736870886556
72,3,93,11,1957954376.0,-7.735518246730294,-10.269690969340987
73,3,93,11,1957953314.0,-4.055677727396886,14.052963497771273
74,3,93,11,1957951155.0,-4.859144846533591,-1.8083201071386348
75,3,93,13,1957948969.0,-5.311829293783674,-1.0999919980527266
76,3,93,11,1957946727.0,-5.322407498302015,-0.025112183339424044
77,3,93,11,1957944474.0,-5.519723663551402,-0.4834135404031345
78,3,93,11,1957942229.0,-5.51817421472105,0.003808520526805979
79,3,94,11,1957938812.0,-7.696239269681023,-4.90573889607928
80,3,94,11,1957936483.0,-5.633850865678528,4.988917430336975
81,3,94,11,1957934103.0,-5.656736850456168,-0.054394955231368565
82,3,94,11,1957931721.0,-5.799519433447495,-0.34763659312175865
83,3,96,11,1957929349.0,-5.7075836658826224,0.22121883864403344
84,3,96,11,1957926951.0,-5.391841423823308,0.709938323597271
85,3,96,11,1957924499.0,-6.046465640543242,-1.6142589045124842
86,3,96,11,1957922024.0,-5.8938865610628515,0.36334698426214723
87,3,96,11,1957919509.0,-6.122627291195078,-0.5568565554335827
88,3,96,11,1957916995.0,-5.9512813274635965,0.405619743234456
89,3,96,11,1957914471.0,-5.812245138904139,0.3201713197648446
90,3,96,11,1957910602.0,-9.30864577295933,-8.412187899397825
91,3,97,11,1957907969.0,-6.3106299611428565,7.185479835180048
92,3,97,11,1957905326.0,-6.412648505813617,-0.2475251865487061
93,3,97,11,1957902680.0,-6.278642443991853,0.3179804034415433
94,3,97,11,1957900009.0,-6.090896528026967,0.42813214065959015
95,3,97,11,1957897312.0,-6.38340832232944,-0.6923330449128374
96,3,97,11,1957894570.0,-6.65054158792575,-0.6479142568806268
97,3,97,11,1957891800.0,-6.749286673637736,-0.24059887764733698
98,3,98,11,1957889031.0,-6.459414780867631,0.6762018016313821
99,3,98,11,1957884838.0,-9.795430919015262,-7.793397478164844
100,3,98,12,1957882000.0,-6.752189433320098,7.240501410413052
101,3,98,12,1957879138.0,-6.951240979790375,-0.48345746572845677
102,3,98,12,1957876287.0,-6.9209171802291936,0.07361224319635554
103,3,98,12,1957873414.0,-6.88348874214555,0.08967568123384996
104,3,98,12,1957870516.0,-6.656312902907836,0.5217920876283337
105,3,98,12,1957867573.0,-7.000417780298304,-0.8185110098442396
106,3,98,12,1957864622.0,-7.136822409041112,-0.3298866862448675
107,3,98,12,1957861671.0,-7.075625166638083,0.14673288664036532
108,3,98,12,1957858679.0,-7.248517049615895,-0.4188535299147273
109,3,98,12,1957855663.0,-6.902395844382605,0.7921304935858621
110,3,99,12,1957851118.0,-10.940092786226685,-9.71898331934829
111,3,99,12,1957848081.0,-7.348198008653014,8.690798173150482
112,3,99,12,1957845011.0,-7.331196356183102,0.04060014743860357
113,3,99,12,1957841902.0,-7.540240046258818,-0.5069924745341367
114,3,100,12,1957838772.0,-7.031316758609608,1.1432590547267047
115,3,100,12,1957835634.0,-7.6074943367435415,-1.3968348191881788
116,3,100,12,1957832476.0,-7.729698898225958,-0.299114776519575
117,3,100,12,1957829287.0,-7.621878999373184,0.25769527211680665
118,3,100,12,1957826079.0,-7.768664683602771,-0.3554640776598697
119,3,100,12,1957821283.0,-10.821390060788637,-6.887975824644783
120,3,100,12,1957818050.0,-7.8600654022722,7.199568664800677
121,3,102,12,1957814775.0,-7.88086379804934,-0.05004864865269168
122,3,102,12,1957811494.0,-7.9481988125216585,-0.16311858642792124
123,3,102,12,1957808216.0,-7.932226684359314,0.03864995156051101
124,3,102,11,1957804917.0,-7.3935393513224685,1.2072767489744982
125,3,104,11,1957801585.0,-8.042481975024458,-1.566359349924469
126,3,104,11,1957798266.0,-7.920399963586709,0.2913342449370717
127,3,104,11,1957794928.0,-8.145558966720968,-0.5494445586932941
128,3,104,11,1957791561.0,-8.250406945142256,-0.25691668825397174
129,3,106,11,1957788160.0,-7.675039225223287,1.2984327607484187
